taxa	taxid	superkingdom	clade	kingdom	family	genus
Propionibacterium phage BruceLethal	1654740	Viruses	Duplodnaviria	Heunggongvirae	NA	Pahexavirus
Rockefellervirus IME134801	2846259	Viruses	Duplodnaviria	Heunggongvirae	NA	Rockefellervirus
Bernalvirus bernal13	1982102	Viruses	Duplodnaviria	Heunggongvirae	NA	Bernalvirus
Vividuovirus fosterous	2956659	Viruses	Duplodnaviria	Heunggongvirae	NA	Vividuovirus
Cronusvirus cronus	2005060	Viruses	Duplodnaviria	Heunggongvirae	NA	Cronusvirus
Brujitavirus brujita	561996	Viruses	Duplodnaviria	Heunggongvirae	NA	Brujitavirus
Betapapillomavirus 3	334207	Viruses	Monodnaviria	Shotokuvirae	Papillomaviridae	Betapapillomavirus
Arthrobacter phage Auxilium	2419948	Viruses	Duplodnaviria	Heunggongvirae	NA	Richievirus
Gemykibivirus rhina2	2844600	Viruses	Monodnaviria	Shotokuvirae	Genomoviridae	Gemykibivirus
Paracoccus sp. SMMA_5_TC	2654280	Bacteria	NA	NA	Paracoccaceae	Paracoccus
Wolbachia endosymbiont of Onchocerca volvulus	77551	Bacteria	NA	NA	Anaplasmataceae	Wolbachia
Pinus nigra virus 1	2267679	Viruses	Riboviria	Pararnavirae	Caulimoviridae	NA
Alphabaculovirus alterchofumiferanae	3047749	Viruses	NA	NA	Baculoviridae	Alphabaculovirus
Sporosarcina sp. P33	1930764	Bacteria	Terrabacteria group	NA	Planococcaceae	Sporosarcina
Pahexavirus lauchelly	1982257	Viruses	Duplodnaviria	Heunggongvirae	NA	Pahexavirus
Mimasvirus CBB	2560628	Viruses	Duplodnaviria	Heunggongvirae	NA	Mimasvirus
Synechococcus sp. A18-25c	1866938	Bacteria	Terrabacteria group	NA	Synechococcaceae	Synechococcus
Polynucleobacter sp. HIN8	3047867	Bacteria	NA	NA	Burkholderiaceae	Polynucleobacter
Borrelia sp. RT1S	2898580	Bacteria	NA	NA	Borreliaceae	Borrelia
Thermococcus celer	2264	Archaea	NA	NA	Thermococcaceae	Thermococcus
Pyrobaculum aerophilum	13773	Archaea	TACK group	NA	Thermoproteaceae	Pyrobaculum
Orthobunyavirus maprikense	3052417	Viruses	Riboviria	Orthornavirae	Peribunyaviridae	Orthobunyavirus
Phlebovirus echarateense	3052647	Viruses	Riboviria	Orthornavirae	Phenuiviridae	Phlebovirus
Lactobacillus phage LfeSau	1567453	Viruses	Duplodnaviria	Heunggongvirae	NA	NA
Tequatrovirus pyps2t	2846680	Viruses	Duplodnaviria	Heunggongvirae	Straboviridae	Tequatrovirus
Streptococcus phage phiARI0031	1701812	Viruses	Duplodnaviria	Heunggongvirae	NA	NA
Pecentumvirus AG20	2560553	Viruses	Duplodnaviria	Heunggongvirae	Herelleviridae	Pecentumvirus
Tequintavirus slur09	1982564	Viruses	Duplodnaviria	Heunggongvirae	Demerecviridae	Tequintavirus
Eupatorium yellow vein betasatellite	221054	Viruses	NA	NA	Tolecusatellitidae	Betasatellite
Stygiolobus azoricus	41675	Archaea	TACK group	NA	Sulfolobaceae	Stygiolobus
Wolbachia endosymbiont (group B) of Endotricha flammealis	2954005	Bacteria	NA	NA	Anaplasmataceae	Wolbachia
Thermococcus kodakarensis	311400	Archaea	NA	NA	Thermococcaceae	Thermococcus
Okavirus flavicapitis	3048455	Viruses	Riboviria	Orthornavirae	Roniviridae	Okavirus
Orthobunyavirus minatitlanense	3052422	Viruses	Riboviria	Orthornavirae	Peribunyaviridae	Orthobunyavirus
Orthotospovirus cucurbichlorosis	3052573	Viruses	Riboviria	Orthornavirae	Tospoviridae	Orthotospovirus
Tenuivirus eurotritici	3052761	Viruses	Riboviria	Orthornavirae	Phenuiviridae	Tenuivirus
Streptococcus phage IPP54	1916192	Viruses	Duplodnaviria	Heunggongvirae	NA	Paclarkvirus
Escherichia phage vB_EcoM_Bp10	2593324	Viruses	Duplodnaviria	Heunggongvirae	Chaseviridae	Carltongylesvirus
Elephant endotheliotropic herpesvirus 5	768738	Viruses	Duplodnaviria	Heunggongvirae	Orthoherpesviridae	Proboscivirus
Fowl aviadenovirus B	190062	Viruses	Varidnaviria	Bamfordvirae	Adenoviridae	Aviadenovirus
Francisella salina	573569	Bacteria	NA	NA	Francisellaceae	Francisella
Wolbachia endosymbiont (group A) of Sicus ferrugineus	2954056	Bacteria	NA	NA	Anaplasmataceae	Wolbachia
